Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,KTX,KTX,blank,KTX,무궁화호,KTX,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,무궁화호,blank,KTX-산천,KTX-산천,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,blank,KTX,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,KTX,SRT,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,무궁화호,blank,KTX,무궁화호,KTX,KTX-산천,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,blank,KTX,SRT,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,KTX,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,blank,KTX-산천,KTX-산천,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,blank,KTX,KTX-산천,SRT,SRT,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,무궁화호,blank,SRT,SRT,KTX-산천,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,무궁화호,blank,SRT,SRT,KTX-산천,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,blank,KTX-산천,KTX,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,blank,SRT,무궁화호,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,blank,KTX-산천,KTX-산천,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,누리로,blank,KTX-산천,SRT,KTX,KTX-산천,ITX-새마을,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX-산천,blank,KTX,KTX,SRT,SRT,무궁화호,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,KTX-산천,blank,KTX,KTX,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,SRT,blank,KTX,SRT,KTX-산천,KTX-산천,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,SRT,blank,SRT,ITX-새마을,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,blank,KTX,무궁화호,KTX-산천,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,blank,KTX,무궁화호,KTX-산천,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,blank,SRT,KTX,SRT,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,blank,KTX,SRT,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,blank,KTX-산천,SRT,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,blank,KTX-산천,KTX,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,blank,KTX,무궁화호,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,blank,SRT,KTX,SRT,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,blank,KTX,SRT,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,무궁화호,blank,SRT,ITX-새마을,SRT,KTX-산천,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,blank,KTX,KTX,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,blank,KTX,KTX,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,blank,SRT,무궁화호,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,blank,KTX,SRT,SRT,KTX,무궁화호,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX-산천,blank,SRT,무궁화호,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX-산천,blank,KTX-산천,KTX-산천,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,blank,blank,KTX,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,blank,blank,KTX,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,blank,blank,SRT,blank,KTX,ITX-새마을,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,blank,blank,KTX,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,무궁화호,blank,blank,SRT,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,무궁화호,blank,blank,SRT,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,blank,blank,KTX,blank,SRT,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX-산천,blank,blank,무궁화호,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,blank,blank,SRT,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,blank,blank,KTX-산천,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX-산천,blank,blank,KTX-산천,blank,KTX,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,blank,blank,ITX-새마을,blank,KTX,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,SRT,blank,blank,KTX-산천,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,blank,blank,KTX,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,blank,blank,SRT,blank,SRT,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,blank,blank,SRT,blank,SRT,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,blank,blank,ITX-새마을,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,무궁화호,blank,blank,KTX,blank,SRT,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX,blank,blank,KTX,blank,KTX,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,blank,blank,SRT,blank,SRT,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX-산천,blank,blank,KTX-산천,blank,KTX,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,누리로,blank,blank,SRT,blank,KTX,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,SRT,blank,blank,KTX-산천,blank,KTX,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,SRT,KTX,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,KTX,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX-산천,SRT,blank,blank,무궁화호,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,KTX,blank,blank,무궁화호,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,KTX,무궁화호,blank,blank,ITX-새마을,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,blank,blank,SRT,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,blank,blank,무궁화호,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,blank,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,KTX-산천,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,blank,blank,ITX-새마을,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,blank,blank,ITX-새마을,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,무궁화호,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX-산천,blank,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,blank,blank,KTX,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,blank,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,SRT,blank,blank,KTX-산천,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,KTX,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,ITX-새마을,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,ITX-새마을,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,ITX-새마을,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX-산천,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,무궁화호,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,KTX,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,SRT,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,무궁화호,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,KTX,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
blank,blank,blank,blank,blank,blank,blank,SRT,blank,blank,blank,blank,blank,blank,blank,blank,blank
